,DaysFromFirstDate,State,state_active,state_recovered,state_deceased
0,0,Bihar,44,0,0
1,0,Karnataka,16,0,0
2,0,Kerala,99,218,0
3,1,Bihar,43,8,0
4,1,Kerala,70,65,0
5,1,Punjab,11,1,2
6,1,Tamil Nadu,473,179,0
7,2,Bihar,63,28,1
8,2,Karnataka,40,0,0
9,2,Kerala,14,17,0
10,2,Tamil Nadu,759,202,0
11,3,Bihar,134,14,1
12,3,Karnataka,20,10,2
13,3,Kerala,18,157,0
14,3,Tamil Nadu,583,212,0
15,4,Bihar,126,15,2
16,4,Jharkhand,30,0,0
17,4,Karnataka,26,21,4
18,4,Kerala,68,65,1
19,4,Tamil Nadu,523,145,0
20,5,Bihar,85,14,1
21,5,Chandigarh,19,17,0
22,5,Karnataka,5,11,2
23,5,Tamil Nadu,802,155,0
24,6,Bihar,202,27,1
25,6,Chandigarh,28,17,0
26,6,Karnataka,21,15,2
27,6,Kerala,17,3,0
28,6,Maharashtra,4547,641,219
29,6,Punjab,58,2,1
30,6,Rajasthan,562,244,27
31,6,Tamil Nadu,561,145,0
32,7,Bihar,130,15,1
33,7,Chandigarh,39,17,0
34,7,Jammu and Kashmir,34,50,2
35,7,Karnataka,4,0,1
36,7,Rajasthan,84,98,7
37,7,Tamil Nadu,503,247,8
38,8,Bihar,145,12,1
39,8,Chandigarh,51,17,0
40,8,Gujarat,747,143,39
41,8,Karnataka,1,2,0
42,8,Rajasthan,568,283,30
43,8,Tamil Nadu,615,272,16
44,9,Bihar,171,24,1
45,9,Chhattisgarh,0,28,0
46,9,Gujarat,766,165,46
47,9,Haryana,11,41,1
48,9,Karnataka,9,13,3
49,9,Tamil Nadu,797,352,18
50,10,Bihar,151,18,0
51,10,Chandigarh,70,18,0
52,10,Gujarat,733,168,47
53,10,Karnataka,53,30,5
54,10,Tamil Nadu,991,563,22
55,11,Bihar,81,7,0
56,11,Gujarat,727,272,57
57,11,Haryana,1,11,2
58,11,Karnataka,18,23,4
59,11,Rajasthan,1116,568,47
60,11,Tamil Nadu,1217,651,22
61,11,Uttarakhand,14,19,0
62,12,Bihar,173,58,1
63,12,Chandigarh,77,19,1
64,12,Tamil Nadu,1377,540,22
65,13,Bihar,32,5,0
66,13,Chandigarh,80,21,1
67,13,Gujarat,680,353,58
68,13,Karnataka,68,31,5
69,13,Maharashtra,951,339,106
70,14,Bihar,17,25,0
71,14,Chandigarh,93,21,1
72,14,Chhattisgarh,9,1,0
73,14,Himachal Pradesh,1,0,0
74,14,Karnataka,57,25,6
75,14,Tamil Nadu,2265,797,27
76,15,Bihar,71,15,0
77,15,Chandigarh,102,21,1
78,15,Karnataka,12,7,3
79,15,Maharashtra,145,22,8
80,15,Tamil Nadu,3035,909,31
81,16,Bihar,87,49,1
82,16,Chandigarh,112,21,1
83,16,Karnataka,47,8,4
84,16,Maharashtra,9264,1694,436
85,16,Tamil Nadu,2432,389,24
86,17,Bihar,91,69,0
87,17,Chandigarh,124,21,1
88,17,Himachal Pradesh,3,6,0
89,17,Karnataka,71,14,4
90,17,Kerala,1,23,1
91,17,Tamil Nadu,3703,754,33
92,18,Bihar,133,166,3
93,18,Chandigarh,143,24,2
94,18,Gujarat,21,0,2
95,18,Karnataka,122,46,10
96,18,Kerala,2,23,1
97,18,Maharashtra,533,42,20
98,18,Tamil Nadu,4257,999,36
